|sourceId| |articleId| |author| |title| |description| |url| |urlToImage| |publishedAt|
|associated-press| |14| |DARLENE SUPERVILLE| |Vive la France: Trump hosts glitzy White House state dinner| |WASHINGTON (AP) — Now it's President Donald Trump's turn to pull off the ultimate charm offensive. Wined and dined on multiple state visits during his tour of Asia last year, Trump is paying it forward and celebrating nearly 250 years of U.S.-French relations…| |https://apnews.com/d838a9db698c457baa43f49d462592b0| |https://storage.googleapis.com/afs-prod/media/media:837d70957ebc4be0a7e43c7bd9049c9e/3000.jpeg| |2018-04-21T18:34:51Z|
|associated-press| |15| |SARAH RANKIN| |Pulitzer honoree is latest to win after leaving journalism| |RICHMOND, Va. (AP) — Ryan Kelly won a Pulitzer Prize this week for his photo of a car plowing into protesters at a white nationalist rally in Charlottesville, Virginia - an image he snapped on the final day of his newspaper job before leaving to work at a bre…| |https://apnews.com/dc312a7e503f4b7bb61a62013fea852d| |https://storage.googleapis.com/afs-prod/media/media:0fcff9034a33488899dfac3704ff658b/3000.jpeg| |2018-04-21T18:30:01Z|
|associated-press| |16| |PHILIP ISSA| |Chemical weapons inspectors collect samples from Syria site| |BEIRUT (AP) — Chemical weapons inspectors collected samples from Syria's Douma on Saturday, two weeks after a suspected gas attack there followed by retaliatory strikes by Western powers on the Syrian government's chemical facilities. The site visit, confirme…| |https://apnews.com/654ea5cf2ab24142a359180aab718391| |https://storage.googleapis.com/afs-prod/media/media:46e9904434484b61a6acadcf300b9053/2000.jpeg| |2018-04-21T17:21:02Z|
|associated-press| |17| |JAY REEVES and KIM CHANDLER| |New lynching memorial offers chance to remember, heal| |MONTGOMERY, Ala. (AP) — Elmore Bolling defied the odds against black men and built several successful businesses during the harsh era of Jim Crow segregation in the South. He had more money than a lot of whites, which his descendants believe was all it took t…| |https://apnews.com/3c5de838ee464aad858301d533ccc19d| |https://storage.googleapis.com/afs-prod/media/media:12103070c214414ba1779b0fd02faf0a/2000.jpeg| |2018-04-21T17:02:57Z|
|associated-press| |18| |DEE-ANN DURBIN| |After air accidents, survivors grapple with flying again| |Hundreds of hands grappling with oxygen masks. Flight attendants warning passengers to brace for impact. The plane hurtling toward the unforgiving ground. Survivors of air accidents often proclaim that their survival was a miracle. But what follows is another…| |https://apnews.com/535f03460b1340e1bff9e607625c9102| |https://storage.googleapis.com/afs-prod/media/media:3767dabe5c304157ba169f0f42a2cb9b/1992.jpeg| |2018-04-21T14:03:57Z|
|associated-press| |19| |ERIC TALMADGE| |AP Analysis: Kim Jong Un tests Trump with latest nuke offer| |TOKYO (AP) — North Korean leader Kim Jong Un has finally broken his silence on what he plans to bring to the table during his summits with the South Korean and U.S. presidents, and it doesn't have a whole lot to do with tossing out his hard-won nuclear arsena…| |https://apnews.com/29f510eb3598437b953d96e640d5ecea| |https://storage.googleapis.com/afs-prod/media/media:67d520bffb7e4678b5b77960521a4947/3000.jpeg| |2018-04-21T13:11:59Z|
|bleacher-report| |20| |NOVALUE| |NBA Playoffs Live: Sixers Eye 3-1 Lead| |Get the latest news, photos, rankings, lists and more on Bleacher Report| |http://bleacherreport.com/philadelphia-76ers-vs-miami-heat-2018-4-21| |https://static-assets.bleacherreport.com/img/br_630_height.png| |2018-04-21T18:38:02.7688123Z|
|bleacher-report| |21| |Rob Goldberg| |2018 NFL Draft Rumors: Lamar Jackson Expected to Be Among 5 QBs Picked in Top 20| |With less than a week remaining before the 2018 NFL draft, Louisville quarterback Lamar Jackson has reportedly secured a spot in the first round. According to Jordan Raanan of ESPN...| |http://bleacherreport.com/articles/2771775-2018-nfl-draft-rumors-lamar-jackson-expected-to-be-among-5-qbs-picked-in-top-20| |https://img.bleacherreport.net/img/images/photos/003/737/188/hi-res-bac961b3012270e73de20da9256de869_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-21T18:04:41Z|
|bleacher-report| |22| |Mike Chiari| |Rob Gronkowski: Patriots Fans Will See 'Freak-A-Leak' When I 'Maybe' Return| |New England Patriots tight end Rob Gronkowski addressed the media at Gillette Stadium in Foxborough, Massachusetts, on Saturday, and while he largely avoided questions regarding his playing status, he did offer some hints...| |http://bleacherreport.com/articles/2771760-rob-gronkowski-patriots-fans-will-see-freak-a-leak-when-i-maybe-return| |https://img.bleacherreport.net/img/images/photos/003/737/174/hi-res-25ef71f913fedc545c961c8a2445607f_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-21T16:39:15Z|
|bleacher-report| |23| |Tim Daniels| |John Calipari Met with NBPA to Ask for HS Combine, Ending 1-and-Done Rule| |University of Kentucky head basketball coach John Calipari said he met with the National Basketball Players Association to discuss ending the one-and-done rule and creating a combine for high school juniors to begin assessing their future...| |http://bleacherreport.com/articles/2771759-john-calipari-met-with-nbpa-to-ask-for-hs-combine-ending-1-and-done-rule| |https://img.bleacherreport.net/img/images/photos/003/737/171/hi-res-6035dc5e934848c88721bb2b14ea7db1_crop_exact.jpg?w=1200&h=1200&q=75| |2018-04-21T16:27:45Z|
