|Wis.| |LOCATION| |0.0007102304371073842| |https://en.wikipedia.org/wiki/Wisconsin| |/m/0824r|
|something| |OTHER| |0.0006988755776546896| |-| |-|
|business| |OTHER| |0.0006988755776546896| |-| |-|
|something| |OTHER| |0.0006981050246395171| |-| |-|
|comics| |WORK_OF_ART| |0.0006981050246395171| |-| |-|
|comic| |WORK_OF_ART| |0.0006976276054047048| |-| |-|
|@JimCarrey| |OTHER| |0.0006570183322764933| |-| |-|
|opportunity| |OTHER| |0.0006221489747986197| |-| |-|
|legacy| |OTHER| |0.000609109178185463| |-| |-|
|#MitziShore| |OTHER| |0.0005702272756025195| |-| |-|
|punches| |OTHER| |0.0005598135758191347| |-| |-|
|family| |PERSON| |0.000559601525310427| |-| |-|
|women| |PERSON| |0.0005591962253674865| |-| |-|
|space| |OTHER| |0.0005591962253674865| |-| |-|
|impact| |OTHER| |0.000558813801035285| |-| |-|
|Hollywoods Sunset Strip| |EVENT| |0.0005453446065075696| |-| |-|
|TIME| |ORGANIZATION| |0.0005412823520600796| |-| |-|
|comedians| |PERSON| |0.0005292742280289531| |-| |-|
|@paulyshore| |PERSON| |0.0004937707562930882| |-| |-|
|@kathygriffin| |OTHER| |0.0004935893230140209| |-| |-|
|@PaulyShore| |PERSON| |0.0004929138231091201| |-| |-|
|place| |OTHER| |0.00048769492423161864| |-| |-|
|doorman| |PERSON| |0.00048769492423161864| |-| |-|
|place| |OTHER| |0.00048754666931927204| |-| |-|
|Jay Leno| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/Jay_Leno| |/m/046lt|
|David Letterman| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/David_Letterman| |/m/029_3|
|Richard Pryor| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/Richard_Pryor| |/m/01hmk9|
|Robin Williams| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/Robin_Williams| |/m/0dzf_|
|Jerry Seinfeld| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/Jerry_Seinfeld| |/m/0q5hw|
|Roseanne Barr| |PERSON| |0.00048230282845906913| |https://en.wikipedia.org/wiki/Roseanne_Barr| |/m/0286j9r|
|American| |LOCATION| |0.00048230282845906913| |https://en.wikipedia.org/wiki/United_States| |/m/09c7w0|
|audience| |PERSON| |0.00045312027214094996| |-| |-|
|pic.twitter.com/kabGgWMVuR| |OTHER| |0.0004127805877942592| |-| |-|
|words| |OTHER| |0.0004038104962091893| |-| |-|
|comic| |WORK_OF_ART| |0.00039063874282874167| |-| |-|
|streets| |LOCATION| |0.00039063874282874167| |-| |-|
|jobs| |OTHER| |0.00039063874282874167| |-| |-|
|home| |LOCATION| |0.00039051997009664774| |-| |-|
|misfits| |OTHER| |0.00039051997009664774| |-| |-|
|engineers| |PERSON| |0.00039051997009664774| |-| |-|
|daughter| |PERSON| |0.00038986376603133976| |-| |-|
|sons| |PERSON| |0.00038986376603133976| |-| |-|
|CONTENT| |OTHER| |0.000389762717531994| |-| |-|
|Kathy Griffin| |PERSON| |0.0003763220738619566| |https://en.wikipedia.org/wiki/Kathy_Griffin| |/m/02p21g|
|@EddieGriffinCom| |PERSON| |0.0003440856817178428| |-| |-|
|The Hollywood Reporter| |ORGANIZATION| |0.00034278249950148165| |https://en.wikipedia.org/wiki/The_Hollywood_Reporter| |/m/03cg25|
|performers| |PERSON| |0.0003067887737415731| |-| |-|
|show business| |OTHER| |0.0003065282362513244| |-| |-|
|Light| |OTHER| |0.0002975835814140737| |-| |-|
|EGGC pic.twitter.com/6V96b6AOOY| |OTHER| |0.00028771889628842473| |-| |-|
|start| |EVENT| |0.0002795547479763627| |-| |-|
|start| |OTHER| |0.00027944191242568195| |-| |-|
|sexism| |OTHER| |0.0002778106718324125| |-| |-|
|Richard & Robin| |PERSON| |0.0002724284422583878| |-| |-|
|Eddie Griffin| |PERSON| |0.00026232918025925756| |https://en.wikipedia.org/wiki/Eddie_Griffin| |/m/03xxbn|
|Sandy| |EVENT| |0.00026225970941595733| |-| |-|
|friends| |PERSON| |0.00024572675465606153| |-| |-|
|some| |OTHER| |0.00024572675465606153| |-| |-|
|industry| |OTHER| |0.00024562058388255537| |-| |-|
|social media| |OTHER| |0.0002455180510878563| |-| |-|
|Tributes| |OTHER| |0.0002455180510878563| |-| |-|
|comedy gig| |EVENT| |0.00024541892344132066| |-| |-|
|MitziShore #RestInComedy| |OTHER| |0.0002308581752004102| |-| |-|
|Scott| |PERSON| |0.00023032829631119967| |-| |-|
|Peter| |PERSON| |0.00023032829631119967| |-| |-|
|SPONSORED| |ORGANIZATION| |0.00023026857525110245| |-| |-|
|Store| |LOCATION| |0.00020611191575881094| |-| |-|
|Whoopi Goldberg| |PERSON| |0.00014510288019664586| |https://en.wikipedia.org/wiki/Whoopi_Goldberg| |/m/0fb1q|
|Diane Nichols| |PERSON| |0.00014510288019664586| |-| |-|
|Sandra Bernhard| |PERSON| |0.00014510288019664586| |https://en.wikipedia.org/wiki/Sandra_Bernhard| |/m/0m68w|
|countI| |ORGANIZATION| |0.000144983729114756| |-| |-|
